#   x       y(x)            y(x)^2       classical p(x)      V
 -5.917  1.17643538e-08  1.38400020e-16  0.00000000e+00   17.505444
 -5.916  1.19157128e-08  1.41984211e-16  0.00000000e+00   17.499528
 -5.915  1.20674769e-08  1.45623999e-16  0.00000000e+00   17.493613
 -5.914  1.22196512e-08  1.49319875e-16  0.00000000e+00   17.487698
 -5.913  1.23722406e-08  1.53072339e-16  0.00000000e+00   17.481784
 -5.912  1.25252503e-08  1.56881895e-16  0.00000000e+00   17.475872
 -5.911  1.26786852e-08  1.60749058e-16  0.00000000e+00   17.469961
 -5.910  1.28325504e-08  1.64674350e-16  0.00000000e+00   17.464050
 -5.909  1.29868510e-08  1.68658300e-16  0.00000000e+00   17.458140
 -5.908  1.31415921e-08  1.72701443e-16  0.00000000e+00   17.452232
 -5.907  1.32967787e-08  1.76804325e-16  0.00000000e+00   17.446324
 -5.906  1.34524160e-08  1.80967497e-16  0.00000000e+00   17.440418
 -5.905  1.36085091e-08  1.85191520e-16  0.00000000e+00   17.434513
 -5.904  1.37650631e-08  1.89476962e-16  0.00000000e+00   17.428608
 -5.903  1.39220831e-08  1.93824399e-16  0.00000000e+00   17.422705
 -5.902  1.40795744e-08  1.98234414e-16  0.00000000e+00   17.416802
 -5.901  1.42375420e-08  2.02707601e-16  0.00000000e+00   17.410901
 -5.900  1.43959911e-08  2.07244559e-16  0.00000000e+00   17.405000
 -5.899  1.45549270e-08  2.11845899e-16  0.00000000e+00   17.399100
 -5.898  1.47143547e-08  2.16512236e-16  0.00000000e+00   17.393202
 -5.897  1.48742797e-08  2.21244196e-16  0.00000000e+00   17.387305
 -5.896  1.50347070e-08  2.26042415e-16  0.00000000e+00   17.381408
 -5.895  1.51956419e-08  2.30907534e-16  0.00000000e+00   17.375513
 -5.894  1.53570897e-08  2.35840205e-16  0.00000000e+00   17.369618
 -5.893  1.55190557e-08  2.40841089e-16  0.00000000e+00   17.363725
 -5.892  1.56815450e-08  2.45910855e-16  0.00000000e+00   17.357832
 -5.891  1.58445631e-08  2.51050180e-16  0.00000000e+00   17.351941
 -5.890  1.60081152e-08  2.56259753e-16  0.00000000e+00   17.346050
 -5.889  1.61722067e-08  2.61540268e-16  0.00000000e+00   17.340160
 -5.888  1.63368428e-08  2.66892432e-16  0.00000000e+00   17.334272
 -5.887  1.65020290e-08  2.72316960e-16  0.00000000e+00   17.328385
 -5.886  1.66677705e-08  2.77814575e-16  0.00000000e+00   17.322498
 -5.885  1.68340729e-08  2.83386011e-16  0.00000000e+00   17.316612
 -5.884  1.70009415e-08  2.89032010e-16  0.00000000e+00   17.310728
 -5.883  1.71683816e-08  2.94753327e-16  0.00000000e+00   17.304845
 -5.882  1.73363988e-08  3.00550723e-16  0.00000000e+00   17.298962
 -5.881  1.75049984e-08  3.06424970e-16  0.00000000e+00   17.293081
 -5.880  1.76741860e-08  3.12376851e-16  0.00000000e+00   17.287200
 -5.879  1.78439670e-08  3.18407157e-16  0.00000000e+00   17.281321
 -5.878  1.80143468e-08  3.24516692e-16  0.00000000e+00   17.275442
 -5.877  1.81853311e-08  3.30706267e-16  0.00000000e+00   17.269564
 -5.876  1.83569253e-08  3.36976706e-16  0.00000000e+00   17.263688
 -5.875  1.85291349e-08  3.43328841e-16  0.00000000e+00   17.257812
 -5.874  1.87019656e-08  3.49763517e-16  0.00000000e+00   17.251938
 -5.873  1.88754228e-08  3.56281587e-16  0.00000000e+00   17.246065
 -5.872  1.90495123e-08  3.62883917e-16  0.00000000e+00   17.240192
 -5.871  1.92242395e-08  3.69571384e-16  0.00000000e+00   17.234321
 -5.870  1.93996101e-08  3.76344872e-16  0.00000000e+00   17.228450
 -5.869  1.95756298e-08  3.83205282e-16  0.00000000e+00   17.222580
 -5.868  1.97523042e-08  3.90153520e-16  0.00000000e+00   17.216712
 -5.867  1.99296390e-08  3.97190509e-16  0.00000000e+00   17.210845
 -5.866  2.01076398e-08  4.04317179e-16  0.00000000e+00   17.204978
 -5.865  2.02863125e-08  4.11534474e-16  0.00000000e+00   17.199113
 -5.864  2.04656627e-08  4.18843349e-16  0.00000000e+00   17.193248
